gid spike-times
50 2.73134579127,37.7457817996,172.863664206,383.916949499,461.499607728,492.438248913,575.31522034,621.478533613,778.622966626,898.441797063,947.125758149,1013.78604705,1042.73731619,1066.96486253,1131.25706053,1160.89533992,1271.12187749,1398.39148042,1553.40726141,1593.62420882,1671.74690018,1692.12019158,1693.53083529,1749.96287442,1808.20857598,1922.24956506,2052.3612045,2081.96472261,2208.63442925,2237.73247914,2262.05339656,2346.66693607,2407.6340485,2501.1820986,2546.32566104,2607.33070898,2613.64205828,2666.82356274,2765.34480775,2974.79950251
51 16.8273185624,115.961655319,285.102974369,333.509599857,382.593737803,441.829314997,479.512059625,590.516166319,712.121200799,731.583141682,889.678663818,990.535802397,1050.87377497,1194.52522249,1218.14947691,1287.21919927,1365.01348402,1450.15115594,1483.64109958,1537.82365306,1589.08041784,1638.78771246,1798.888588,1934.56024789,2039.57054176,2093.51472126,2095.83726308,2189.51213417,2254.24916859,2262.64588392,2288.04844189,2348.13537017,2493.00878483,2588.63301234,2624.97125491,2721.82351605,2854.99197848,2919.89344047,2972.35573514
52 41.4887063886,89.167463494,109.607605486,116.069596261,231.820247639,237.332190713,317.905069628,400.045148636,410.451369407,482.887848866,604.463395184,635.840708106,738.939159978,822.000139557,874.222663042,1021.0780118,1077.13682509,1113.46572679,1116.96173273,1210.78501243,1271.48402882,1383.71892475,1462.02927711,1549.63114473,1646.96796251,1671.19313998,1727.35811227,1727.55859648,1869.12664108,1990.98563859,2024.11001793,2117.8397787,2200.0007637,2240.09902246,2383.29404996,2466.42139497,2538.61968892,2611.43131959,2615.18675391,2624.65364241,2710.62665741,2725.41244223,2735.72050033,2787.66639286,2889.36141473,2934.07575336,2971.00456793
53 108.512344878,140.523857495,215.268620559,252.890083629,327.126170292,336.531054466,388.437873884,464.616009411,575.266733993,679.889214879,693.864633314,732.321960332,738.447326877,755.441539899,840.853743729,918.811795781,950.815849393,1029.79744197,1126.2164891,1202.69418234,1255.09943455,1360.77220164,1420.33789018,1485.39964296,1562.69203033,1656.37273208,1850.6102349,1922.01315865,1955.5270855,2011.70263093,2048.68022361,2089.26258947,2107.75510064,2200.01099874,2212.45126677,2247.38138076,2435.22580619,2468.82342523,2531.76842788,2595.20179774,2722.80861247,2859.90611082,2984.7710838
54 13.7610833518,41.1704045316,42.881267096,181.316278276,293.158126444,370.700268637,408.412335884,470.102078139,534.977119776,669.506810856,743.555923905,846.684759264,877.185901341,1015.95299372,1065.00354176,1106.13203742,1263.56018061,1353.25635485,1425.64230969,1551.75085636,1638.18625215,1647.55429729,1716.38601963,1852.54382576,1992.79512284,2006.06489035,2117.00484309,2266.07201137,2370.88429002,2426.97359952,2589.02469386,2751.93472779,2925.41295499,2970.14690226,2977.45361086
55 98.6876439688,177.760247247,237.216648533,346.711149216,476.546313958,479.849884133,579.389126359,615.037067647,758.422243873,798.974612728,926.642631744,1013.34623649,1056.6946636,1171.17133666,1234.68041005,1302.36934491,1327.90376955,1370.91204597,1453.48513442,1503.72570614,1587.89557866,1620.91543279,1741.95740501,1804.79646394,1841.06419817,1941.81493633,2049.00261943,2126.52639395,2223.27573633,2352.89201544,2462.76898824,2590.12366494,2757.93129949,2836.11976203,2927.10825784,2964.26919506
56 81.5229713162,206.298066246,297.33031152,360.315301053,446.409596065,567.050543569,649.244395024,719.799561626,750.777023167,790.339494169,863.57464461,898.328144088,980.623140323,1062.30520068,1209.08354476,1282.34925754,1332.98802797,1340.53787042,1377.45766881,1476.68114284,1491.25384729,1512.88188062,1567.40135171,1603.10048128,1640.26111023,1754.35859712,1871.24314469,1995.15474284,2021.89213527,2036.69782347,2091.41100035,2208.6052277,2281.50970188,2305.33574418,2320.14809692,2349.23587561,2440.20336518,2473.32914861,2494.28108973,2716.03196758,2748.67167602,2770.26906974,2879.12185862,2976.76520315
57 10.3627876688,47.631154009,201.488449974,232.602818528,257.023764518,294.299976439,375.376639335,422.470785821,581.833399986,726.916196503,757.836066629,879.799602868,969.928783259,1032.77199287,1082.00951458,1192.639482,1284.11346032,1375.88660878,1475.04051298,1513.81652728,1611.16537806,1674.96859544,1704.8593038,1741.20849411,1881.12684177,1905.33854198,2028.65054426,2105.68102585,2165.38178153,2172.78076223,2248.93513391,2272.79139283,2308.3151936,2394.38560255,2429.5028145,2459.50197202,2542.23938454,2631.72342904,2696.68439999,2736.00414195,2751.85589529,2805.14307098,2908.20383226,2973.11698668
58 105.698252915,122.721975556,128.905089271,268.604260204,390.543480301,483.410482464,528.520600869,620.607298937,665.981768271,812.883644785,909.195433179,1034.42267739,1087.92424755,1093.56743897,1180.60900879,1185.60912942,1372.89261912,1444.74658775,1490.31218332,1574.60871591,1622.20231487,1630.51642722,1800.58767148,1972.95838015,2033.14279777,2153.92332947,2210.66843846,2229.24410541,2349.89386924,2478.516511,2588.59266983,2688.32372103,2832.5448009,2888.72733758,2915.924378
59 69.2020688235,99.220781461,138.48170307,193.486525873,302.723338223,348.875727265,381.945813513,449.528323594,498.493972089,510.499372827,512.812059333,593.166689259,716.58094069,731.379648043,739.267489698,753.869525676,880.782808434,924.435064582,1050.2414258,1137.20849061,1258.0097786,1321.42958098,1442.40968701,1456.60288745,1505.01245808,1519.53099316,1682.83714625,1753.4547251,1841.26262499,1904.33429924,1917.17210497,1985.93809696,2041.20646111,2053.30216431,2075.176683,2117.09524355,2155.91515742,2161.58996221,2268.09827712,2349.71566424,2438.02237466,2523.71520641,2581.40174895,2594.16995155,2618.23518724,2796.10409886,2893.46719788,2943.65327738
60 46.2557069875,240.548585426,331.738694548,388.855539968,514.135468926,592.137168698,656.319912826,716.55400385,794.629743688,800.051135004,931.953178807,1076.646059,1101.09622412,1108.83110101,1192.75459018,1224.62121314,1297.20663491,1368.16606666,1430.17040957,1520.48366993,1556.73586907,1599.86557134,1683.68458333,1781.38617337,1815.55057181,1907.42640645,2004.82672302,2007.28045731,2068.94908209,2112.68762414,2132.87833391,2251.18666938,2254.55926923,2263.42412589,2299.36879637,2315.73517777,2319.63281257,2419.74799451,2511.02247056,2616.9184045,2706.53176549,2743.18408093,2849.52602763,2953.56333283
61 111.366083469,178.829563942,299.857078173,344.514835639,475.494333366,542.654377354,608.177095206,777.517375908,879.892337356,901.727703846,938.541265964,1043.91163764,1058.43047967,1157.5726512,1216.21777797,1312.87438385,1381.27117247,1409.87048714,1464.00265124,1540.66927711,1587.9927822,1615.11937506,1713.133099,1729.13967852,1785.38259891,1818.68107654,1866.12846246,1940.78609067,1970.53435106,2096.65371045,2175.24325347,2181.6130213,2221.18177258,2226.93187767,2339.89489765,2449.67429659,2477.65185185,2534.98748669,2603.76277645,2760.81382238,2874.92347479
62 98.5135405792,173.424018235,255.051751416,255.679944579,281.618943298,366.24433282,465.646492158,524.273946443,643.640789495,688.414811348,701.658108323,742.253835153,821.345755635,906.602511098,1036.82922373,1159.57490904,1216.89129258,1230.85331578,1335.78998459,1347.02096062,1464.56828299,1483.20176917,1483.90063298,1492.59957958,1544.31338315,1633.56688831,1715.4466693,1786.50370127,1883.86821168,1952.2727152,2018.38378975,2133.70549961,2204.51887283,2232.25336782,2297.40158232,2306.97326499,2352.36534415,2395.03413625,2522.6967019,2682.30059033,2751.04831788,2899.35116887,2950.71812665,2985.02773253
63 162.315509682,189.069595685,305.106873927,412.096579172,447.380422665,551.954470134,679.175158275,738.491740087,798.062109304,856.838982832,875.799587393,937.50151175,1003.02215506,1058.88309915,1083.99665604,1163.14083695,1209.75150711,1314.1348484,1377.06426805,1472.2578142,1496.13193758,1531.16059251,1557.18067598,1664.45394174,1788.6345884,1940.62993998,2052.45113052,2075.84719998,2112.29616524,2231.67169758,2372.95237978,2378.1244773,2426.37787553,2544.40943266,2558.02222445,2682.53078923,2697.49219976,2771.99260775,2856.49596529,2893.83468189,2915.58530748,2926.78367101,2940.54670204,2948.84702843
64 59.966707023,114.167094958,156.975496494,228.121969209,294.780423566,326.121409347,387.466761898,496.773931093,554.011890225,639.941337896,712.497712579,839.533308953,945.281236671,974.87828556,1042.07342137,1068.12189035,1137.82541245,1255.88911803,1292.72620388,1303.56650357,1373.93809738,1390.12819215,1414.21331211,1472.57250994,1518.53814707,1656.74745605,1718.16403125,1782.57835058,1847.23297621,1901.21238044,1987.25216575,2095.41291699,2142.55880304,2176.04051514,2221.34238088,2332.4691358,2420.93715014,2454.69242736,2540.4949087,2570.68596736,2640.43705394,2724.56897128,2809.61133023,2886.42071508,2925.27486503,2949.07430773
65 92.2135470542,233.114941063,248.026839459,271.159472638,392.30954726,483.022816954,561.501717877,570.169805009,667.489905694,690.004337105,749.764960597,774.997227624,780.001431591,803.465890634,1009.38229187,1091.6866232,1190.09902481,1271.76399056,1362.73130118,1443.03673994,1472.69364984,1641.55735653,1746.87343571,1800.75008584,1921.67605778,1929.09622649,2010.66437131,2200.38649176,2220.59952343,2242.85327403,2334.01524336,2456.64750271,2531.79419663,2629.62506555,2690.67680362,2879.59125484
66 54.8341211689,165.553362455,192.802677459,253.231691544,323.018327239,504.54200408,575.97407255,638.647983539,669.979768339,767.465947721,857.483237275,932.921432734,933.464230899,1020.46282802,1065.33218945,1078.39499492,1125.22241652,1208.76393832,1227.40719068,1353.81181875,1402.03379918,1531.38442719,1687.22412146,1733.03098868,1843.66102834,1851.56147375,1951.7935648,2014.7046456,2062.93084568,2161.16876909,2272.2870366,2337.47292776,2407.29479437,2501.48971909,2547.99369332,2572.101155,2632.64633841,2786.26623834,2803.14287611,2901.95784258,2984.29537738,2988.28128623
67 92.592112436,203.556226872,234.730307078,398.343349177,472.388687107,578.260098389,643.794862231,680.128384897,704.237266165,769.667901948,814.841969056,824.104844958,970.865792653,1002.98554018,1045.13600994,1114.29495092,1260.26596094,1374.50869548,1404.86744882,1446.63394417,1503.33613402,1549.69188359,1563.01681033,1619.45373225,1695.26452052,1721.75940493,1819.54903405,1858.23024343,1973.87446489,2051.09919913,2171.04189215,2285.51881671,2415.29485711,2468.3611582,2565.12277853,2624.35750149,2686.82403804,2754.07113622,2862.28641312,2934.68073053,2936.1688585,2976.36745291
68 143.277078518,184.796397739,267.571205653,361.01169636,422.155865862,512.412049016,697.239770721,722.033229681,776.696891996,930.974154211,957.696459885,991.720901016,1073.63190445,1126.31587871,1205.36630585,1320.51407869,1398.68978759,1484.71317624,1520.17796075,1622.2084927,1760.0322019,1818.60608345,1961.62454431,2006.28828989,2030.65483756,2080.2794357,2140.18436321,2275.63668065,2318.57114477,2358.64121673,2383.01714577,2530.90278533,2586.6175761,2646.76369763,2682.8067245,2709.85723827,2768.53540045,2864.72756515,2871.0867755,2961.12478569
69 78.3597775011,192.844925696,271.934347702,337.464777067,446.008177178,532.715881573,621.320273027,717.640123352,767.097394192,804.684171914,857.546543473,1018.0319936,1059.99230342,1105.69028688,1185.98388707,1290.67034047,1331.64858565,1367.24878915,1367.77892541,1410.70203606,1457.83221834,1514.70009257,1610.73438942,1763.35043542,1797.18344404,1870.01041725,1941.83480526,1997.95598575,2073.30082322,2151.12096711,2213.22218708,2240.50126362,2399.70416959,2430.34862572,2468.70860797,2470.66736271,2676.18395746,2705.6096193,2789.75751771,2806.75378105,2824.94391479,2908.58605159,2911.88447286,2924.52621528,2967.76726322
70 87.4112702411,174.263380339,242.385763572,247.478402375,330.169740002,392.960607951,491.711145301,513.238629847,539.567445687,615.377037764,674.208719713,701.939360993,847.76121708,906.167219475,948.896501482,971.113920794,976.623099371,1010.9240599,1114.77220021,1206.30840544,1283.25343335,1355.32787366,1473.20425693,1649.20447319,1695.74489447,1711.42121565,1807.60151766,1827.06638508,1928.87218085,1930.97502377,1996.7114637,2025.27593179,2056.49304744,2114.35980151,2188.29968449,2242.31769373,2353.10746012,2421.30794585,2489.45734994,2493.74337742,2611.21927573,2723.89028618,2867.32102081,2893.31392825,2894.1252266,2962.34584565,2990.53395905
71 72.6176043766,167.727275187,294.747585627,392.780280483,418.417406741,458.617648037,502.710536201,535.152902362,573.31974006,575.346804441,622.620513065,709.799268305,732.739550228,802.573112402,827.594698716,851.913488332,918.814350136,1033.07880291,1131.21945258,1139.91431282,1270.53661531,1354.52681228,1463.01833797,1545.69880589,1585.97325915,1804.44223776,1859.64743324,1940.46103477,2008.96304422,2012.40971021,2084.3267726,2088.41171635,2227.39857324,2260.52353204,2299.19863686,2422.31533008,2557.01378528,2633.33035415,2691.74309787,2842.33587863,2955.1087163
72 6.34543178196,106.702985105,167.362748741,257.502138836,310.713504299,470.147357669,502.344087974,595.459489596,706.276934682,767.204412281,827.494779034,953.462758377,1089.24199716,1194.67961238,1239.55589094,1333.5619078,1476.34469814,1639.34938542,1700.06866414,1752.69564887,1851.77495623,1881.68118734,2006.84444287,2066.46106838,2128.73716514,2147.76859316,2249.20799628,2299.27294052,2425.35493383,2436.15873724,2468.20751148,2479.79451279,2510.93880176,2580.44704335,2666.15786286,2703.13452573,2763.79368017,2775.04165193,2873.25126971,2893.70026928,2975.8557326
73 39.7809931966,112.673909305,125.765303862,261.253565968,340.819198951,430.644092707,511.04564423,612.438509087,699.918319151,728.329061755,857.736799029,945.892825272,995.36476819,1077.50952374,1128.38469219,1189.88700411,1212.11070288,1351.93140796,1398.31378135,1480.1100782,1530.04041202,1550.37061145,1638.57452362,1696.46394624,1727.05792973,1855.69108898,1898.66951686,2034.23955875,2086.52423947,2192.46223388,2253.63887802,2352.57284671,2458.42801664,2606.71411334,2630.71914562,2724.39526588,2759.84235002,2814.73442547,2857.21914534,2975.2010531
74 12.8477444242,69.527344893,156.140672184,297.527062103,338.605025743,383.466749432,398.296662057,495.123657151,562.236759087,677.29305081,706.556959441,797.701410002,831.428001337,902.540328384,916.24367437,969.625923802,1010.76776661,1122.56157732,1168.77168949,1276.33651587,1346.83215099,1484.80872747,1517.32814234,1593.90971025,1636.07285253,1738.69624406,1778.64772204,1822.16838338,1839.93187501,1905.22133677,1947.11822853,1990.11304479,2108.70737947,2166.77320912,2218.75852361,2296.95002938,2388.73942984,2410.55815778,2555.93373526,2576.41956931,2666.30997679,2685.69487061,2749.96589126,2751.30192029,2773.59348551,2891.93564896,2938.10716085
75 81.3661619941,169.542877593,243.718480802,334.061452735,443.885426026,480.571130827,579.120218081,650.632444946,706.303614714,727.017855271,820.696452383,932.396765432,948.749168343,1033.40040904,1117.733284,1164.74694837,1249.76089791,1400.88819848,1537.94284752,1584.18961475,1684.53641321,1716.54271163,1748.70810056,1764.85678925,1889.57088919,1949.79253655,2073.02160027,2090.88378632,2164.97165793,2233.18762158,2349.34505408,2485.92345879,2642.79248704,2699.93368151,2721.0867863,2820.92187216,2884.15695396,2886.55369859
76 139.297678943,194.670231982,222.49638448,308.668560754,422.228741663,526.147643691,564.874423922,661.592551227,668.014551142,679.493668643,796.059305681,863.240863545,940.374203392,1011.1576583,1089.99005487,1227.81901719,1264.43784768,1416.24562459,1446.82337132,1491.85666129,1545.00156867,1570.98991555,1646.33107286,1730.69180493,1777.56364353,1843.76259964,1891.45016676,2018.12651727,2139.63389909,2215.34412887,2256.00826543,2293.56076361,2357.41578703,2439.80699719,2481.48127594,2577.12982486,2627.70087366,2716.78596482,2733.93376413,2829.40818829,2835.61795568,2993.03287234
77 103.681226617,206.535427308,241.773652304,342.0867257,501.628049885,524.870650608,675.176823005,714.759791485,728.557022809,831.346595708,949.747931142,954.322895084,1033.25079455,1160.12448625,1172.65348394,1336.60553443,1419.55911639,1494.43119704,1615.89481053,1806.881819,1879.61928937,1973.37933568,2013.83215058,2108.0842603,2183.6805011,2221.39145808,2302.00770208,2363.2262126,2500.62962161,2612.65247886,2738.31020177,2797.82537849,2857.93379339,2892.41861554
78 165.416861239,245.37907778,253.136391997,333.858339231,401.340704136,479.190617616,593.532533281,670.273995359,721.800394125,833.836043805,870.992365416,908.378025814,968.628767143,982.341580498,1027.2314199,1120.00284304,1244.58410498,1270.5253273,1357.86761127,1371.86943366,1563.15861522,1663.28929096,1685.83773812,1712.83935355,1861.01345128,1935.49399554,1983.86667627,2016.0639059,2090.93421285,2100.88207132,2195.60570836,2257.61451446,2335.6343813,2449.43326593,2494.20109846,2547.94412303,2618.90124526,2632.19494191,2684.53325351,2711.68366107,2714.78888897,2755.90338532,2874.79915946
79 38.0381929857,50.8819208066,145.975347294,228.974456526,236.488000175,296.027315113,341.628705543,377.053764812,449.67636051,574.592615949,690.690703299,775.849887447,803.835461616,929.492319601,1086.73058031,1128.63338426,1222.18705278,1331.10622635,1403.09261116,1423.1966981,1474.09282617,1619.03476458,1684.96534656,1712.96713866,1818.06767407,1868.87546997,1988.69151204,2073.31535796,2087.28097462,2158.03993586,2285.6394609,2346.98087737,2389.14552627,2427.37687874,2587.60153735,2649.82110919,2650.8315052,2829.16918693,2902.75930349,2905.13921857,2926.25346315,2976.94622504
80 35.6945153724,73.2336642654,168.028512424,204.439691318,215.590853697,278.974137395,343.017119946,408.684813915,512.624077196,647.526103227,755.393274976,890.813325771,1015.27475726,1035.22453369,1132.86203024,1148.1735454,1254.35025408,1402.7984408,1416.43601328,1493.46319054,1523.47177626,1554.53661302,1599.77520656,1705.81182397,1778.60133399,1799.35802957,1951.15716735,1996.38551416,2007.73128397,2141.0713558,2169.39718979,2178.48704129,2315.88357725,2366.02171171,2463.56106707,2598.10511398,2682.7445843,2810.4117976,2931.7444648
81 61.4563122587,82.8779643297,195.536857621,267.526334124,312.033582066,363.710012238,400.757883176,466.934517981,483.95257373,585.834912561,703.322300024,759.982032671,871.306226517,1028.40427137,1079.31236201,1115.95773938,1170.10999757,1236.96396011,1354.20934596,1437.5113565,1558.24654027,1575.38647718,1608.01406385,1650.60436813,1671.49466345,1782.59910124,1858.06847639,1975.48380289,2032.64641385,2040.04972311,2098.43351078,2146.18330716,2336.32646407,2475.24532773,2521.73252126,2561.15360696,2674.08648334,2752.78663584,2835.08196786,2896.26877234
82 35.1898296356,127.357398826,142.197073152,203.965102909,254.538386429,304.84796513,382.688844431,389.321742594,480.10390439,611.464206317,638.177444451,683.128173402,769.334842459,813.688835582,836.706326603,900.952933969,960.438774609,1149.71358724,1271.99672592,1381.21136462,1564.87331506,1607.51237955,1608.40925784,1641.0152705,1781.54330234,1883.26494168,1907.13053277,2040.90595691,2072.45027982,2139.74596311,2173.40157976,2254.73441981,2259.45100512,2340.78583851,2396.26323858,2586.88930709,2739.27334266,2812.50576868,2891.5304653,2947.51976733,2958.3573472
83 59.058638668,119.250726831,225.767300465,432.133101622,549.072495204,656.736284695,678.062257725,712.71665243,739.535652469,772.318546216,857.364811926,925.923401082,1045.20044086,1211.26535289,1286.74568068,1400.24538808,1430.38492224,1433.61077726,1638.12993017,1673.62399851,1692.79363286,1698.39914128,1721.36060081,1729.10202375,1787.46877564,1788.88102279,1973.64793356,2034.86974214,2041.11659154,2043.25177812,2117.15497225,2119.96317276,2158.23138159,2272.13513784,2396.56690584,2468.32671381,2630.5293214,2631.98222881,2750.18454298,2775.5766833,2883.50898279,2953.04909451
84 56.9014944805,98.8402262186,107.01167561,156.612825628,205.861863207,231.850887889,360.701181016,375.379658984,453.695127065,557.349895516,587.076520479,728.79492565,789.640452416,894.416288068,925.240203966,1030.42129985,1059.64261399,1161.62435951,1194.07845689,1260.94672055,1294.07033175,1447.28992028,1465.68862381,1556.63350935,1672.20014705,1776.80823441,1802.08408702,1804.35545755,1942.61942994,1947.01579445,2025.24877344,2066.60083218,2071.54407591,2201.40146504,2273.68929166,2346.6553085,2352.90070955,2378.61209638,2419.44962725,2445.26695496,2466.75163717,2548.25748709,2612.67897955,2667.77162124,2846.29514684,2924.59083904,2937.88659257,2955.96867009
85 117.010020781,215.546814478,339.300274424,421.702226968,422.831689127,424.864084595,557.610183031,586.554035374,597.497397278,620.628458564,639.19218088,771.734790646,865.862408633,1018.06457341,1087.37289312,1174.9704742,1293.46796814,1383.62364234,1528.64200124,1534.889051,1536.9555148,1544.8812914,1580.56513099,1671.55343119,1733.88203194,1759.5380829,1861.23493705,1965.34967061,2113.71208839,2224.0550419,2242.73011396,2246.3861849,2308.71606277,2356.27700718,2454.8410085,2527.62082724,2570.08024172,2659.7125471,2712.74816266,2784.98562443,2849.52073483,2856.88074491,2953.22488953
86 116.607328788,204.420565007,215.18919846,242.377490335,247.67501239,281.351286416,354.952979188,447.495328738,505.023443303,551.040021767,636.888106133,664.367188003,748.794499048,852.780787768,913.668332722,990.004195491,998.824400896,1028.58232897,1048.73135235,1164.00756511,1281.65721233,1367.489951,1438.34366217,1518.08545909,1542.36235159,1661.17754206,1780.06155462,1783.57001076,1907.13785997,2013.6868284,2040.82804876,2089.9312544,2182.44787414,2238.57439017,2257.01968706,2344.51469923,2451.35978102,2455.29227395,2528.40180317,2672.18186091,2777.22465685,2790.15296863,2847.76495913,2912.44721269,2941.39608224,2948.63116485,2989.48651747
87 54.6738365442,211.294849524,246.178595052,274.703099546,370.269864155,432.620685976,466.084307863,533.417012599,627.486765076,742.509535651,798.354928341,877.642378416,951.416338552,1104.40247419,1120.59585006,1308.88713648,1362.62784096,1414.34306427,1532.02574194,1601.92925695,1687.38254976,1797.70349121,1858.23873693,1934.34841002,2069.49883068,2103.38767381,2156.60498319,2292.16750804,2400.70040299,2472.79297943,2500.97891104,2589.04989748,2664.93962866,2681.97739505,2785.70648147,2910.29634289,2940.0468287
88 23.3492558607,98.9949006759,186.472578565,204.553506325,268.143303289,346.429106689,361.880804039,385.456561812,459.319113782,542.919343142,636.883178033,749.386803221,853.24083153,952.179332085,1067.77903663,1099.91166226,1115.48343372,1231.67549743,1277.35045276,1437.31230286,1497.40386784,1604.09635464,1630.3320813,1726.34134491,1772.79486565,1807.42172805,1841.47026374,1961.37023178,2017.91241497,2124.33557598,2199.95678692,2322.15598178,2332.43639921,2414.43091691,2463.90277495,2487.57302677,2554.991415,2625.18618427,2736.56739057,2778.19110468,2860.05870583,2922.01949243
89 84.0768181297,202.426848452,303.01255032,379.955585792,518.516605387,607.764211826,630.253925524,719.586900801,779.795606252,809.989892957,881.059880103,908.99243449,982.277783049,1033.85745963,1123.97661648,1173.51768702,1335.92414711,1423.64347506,1488.67989199,1620.78790284,1645.74146619,1703.79133155,1704.37163104,1704.92474181,1744.48068067,1792.03661946,1862.37777107,1875.13268371,1971.26993713,2006.64434765,2127.13867554,2184.39332669,2208.72012255,2329.05623441,2459.30940028,2636.12912767,2672.21242239,2700.0611683,2738.40068821,2800.68835798,2838.44647992,2888.35278603,2959.72257514,2972.01928585
90 159.512680913,208.210597193,314.751628518,413.325450691,539.19396133,584.104732463,628.182256763,643.170248059,707.575736314,717.032746004,808.028458058,843.437549242,918.113544227,943.984216049,949.756797305,1050.92143711,1124.58056936,1213.42214712,1309.79795017,1444.19518652,1449.05281661,1473.8198939,1504.36001092,1571.95778872,1621.23944439,1629.62555812,1696.76932348,1766.39031181,1859.81329739,1929.5115321,1950.90942376,1984.54497227,2113.09782264,2180.62523212,2205.88403025,2351.85290499,2450.91234722,2463.36274722,2503.60263374,2611.66148277,2612.7895106,2638.88201434,2689.11577356,2716.1144091,2747.77304026,2755.67921972,2826.90984118,2836.62017445,2883.59194572,2949.56620961
91 23.4266567736,75.733900041,166.638791792,215.37325353,277.23708622,337.664654035,470.614719932,572.57553374,595.749931834,702.418308288,746.176978959,848.377530533,952.528578672,1162.03327114,1169.80330972,1327.04013757,1457.53616106,1528.39489654,1539.82255441,1606.44008475,1647.92925819,1753.106516,1771.79771211,1783.40702414,1820.59154,1844.32767974,1898.01769644,1927.91525347,2045.44568613,2062.58460987,2113.10661904,2172.92534702,2242.08722142,2324.93088279,2384.70265928,2452.61031556,2516.0464458,2590.1261851,2628.13578414,2636.85261854,2717.57305116,2792.23778363,2866.61250961,2968.60088352
92 19.7456634587,81.7838093794,107.003083024,283.87347609,363.699236008,476.136618574,591.545938011,757.085281648,766.712980945,864.774952808,1002.30359424,1116.1407782,1228.08115835,1282.04436915,1305.14751553,1394.30283836,1413.49988534,1557.51781461,1642.11367174,1711.02050547,1764.11515036,1849.85078212,1914.92067556,1953.43612455,2040.4033836,2102.11798182,2140.65962129,2282.81872141,2364.53897075,2423.25360099,2455.48109239,2554.78206593,2598.00233869,2695.51893585,2764.51889421,2856.99083048,2878.92840407,2961.10941818
93 108.091117443,153.014404134,211.297865078,236.181073621,377.025056415,528.965499674,573.808796833,598.57375666,688.799467623,747.330620195,795.649358904,892.305643575,945.316603032,975.947672478,1047.12340992,1128.13288495,1174.74759862,1228.04299746,1273.81288954,1382.52443769,1415.7899558,1557.32127388,1608.49634424,1701.50331241,1718.8252771,1775.64306406,1871.16881774,1882.89175226,1895.31978063,1978.99982221,1994.20839077,2034.46020737,2150.37177419,2188.32208924,2255.76937121,2316.0950042,2329.75792947,2453.35032767,2482.6724268,2506.81456057,2569.92568038,2578.54891528,2613.65140824,2666.07755275,2775.77355514,2832.44797442,2856.15793256,2864.2328178,2970.37696016,2988.85558511
94 27.8472057707,111.781170864,142.569277234,228.910974013,331.877227193,339.802201573,414.241644351,540.931565366,620.750966084,732.783646957,827.28222456,887.551416518,935.97699685,1062.27855151,1147.47845265,1217.05727029,1332.47931353,1424.98096014,1477.34982873,1478.72766585,1565.69518899,1601.09729031,1656.08371921,1808.77459825,1852.04085839,1930.03972218,1995.30971605,2009.77284939,2084.02867554,2182.573336,2206.01466818,2266.72960926,2361.83468063,2426.52864323,2442.06999083,2499.31422222,2566.02781617,2569.77236221,2574.50385966,2660.91562689,2792.18683621,2827.40952561,2896.82769347
95 56.1225142014,144.072181801,255.691473502,326.726621101,455.652504247,526.300087533,608.126168045,682.070777224,719.177926842,732.002643806,736.626774966,747.428852381,780.697368897,884.174639454,1035.54609858,1091.34791863,1121.73180142,1158.95419493,1190.65880455,1222.32476292,1427.74533574,1565.55207258,1697.99065645,1800.22864209,1839.04205968,1912.43086659,1972.64442846,2004.55969736,2047.2753226,2063.64896745,2142.75882269,2258.17463992,2304.36907368,2406.96079504,2530.30061365,2575.12911055,2580.93689405,2688.1249952,2792.04161023,2889.39071677,2972.0074201
96 25.4506533377,55.5975626074,250.09988038,290.620324584,384.689002694,405.009521135,414.698613312,426.786076854,510.654607297,599.510209783,647.342239504,659.1246418,784.317412147,799.197461176,898.936152026,1029.84446577,1060.19988317,1117.15549251,1132.25429409,1166.69599513,1289.5507282,1367.40198076,1374.79503721,1384.77748989,1394.07541817,1492.89405033,1524.54337863,1560.24120733,1721.72236774,1822.39001846,1874.50087726,1939.07802347,2021.0347574,2154.99648771,2241.16321427,2253.97049175,2352.53186239,2442.97029505,2484.64024802,2561.63810251,2574.1953953,2735.05011577,2757.63917825,2835.37780721,2836.38189891,2839.91950656,2939.02954847
97 13.1095849578,63.8714931559,131.593021504,230.246316526,277.318168769,279.020565305,312.695689667,418.957429504,491.648816457,603.547856152,665.726491146,681.584987764,719.803846703,736.233163195,743.565887089,766.860231689,779.469814693,902.769748177,989.299235845,1076.13082769,1191.82202534,1378.71896367,1497.12554362,1674.66952461,1807.49133877,1811.71570124,1857.59614127,1930.991083,1991.96817256,2056.37044046,2089.59809597,2187.56867795,2343.65093817,2377.28168404,2384.3085468,2463.56253965,2600.48683991,2609.84500404,2738.90928165,2783.83518774,2883.43001381,2920.32512042
98 123.643676735,145.57154596,224.712331391,298.954871529,363.543095006,444.719175918,612.052677103,676.509778741,770.024966041,888.472136019,943.780145803,983.784744647,989.315046252,1074.42280612,1119.28449922,1130.15562935,1135.27071057,1170.68474613,1249.28457214,1347.4849869,1376.76819138,1424.34049899,1583.98652122,1677.56420334,1736.04746417,1848.76939604,1952.01579229,1984.54992964,2009.94005189,2030.35516097,2083.00712371,2226.86902912,2299.67980519,2404.06828938,2434.45618438,2436.11907414,2478.19942233,2607.26504122,2678.4695351,2752.01356638,2840.51588429,2993.53503158
