gid spike-times
70 23.2462738849,47.3417125008,76.3450853887,139.893102511,211.421325536,319.728867885,479.254567594,642.725319693,691.253127474,776.625727928,883.170457768,893.121569483,1041.41317732,1121.20249502,1214.84256616,1275.55953967,1454.16447203,1478.73922615,1605.87360705,1623.508827,1783.53771343,1924.03195107,2039.47553176,2238.63213235,2269.47966575,2348.63360889,2403.9944658,2531.89867136,2586.38676404,2664.01614678,2783.58766866,2866.01675911
71 4.32660034022,127.117741372,146.497169114,253.180982971,351.816037085,543.945434825,654.070090613,746.739981721,783.266748051,873.312560309,991.260359521,1005.0977598,1118.89858855,1185.55177399,1221.24245267,1268.07357662,1480.87147859,1681.30961423,1769.43567484,1775.05070211,1894.67372453,2053.69431367,2075.52960007,2152.35768274,2212.15213161,2296.00118436,2409.73436521,2556.11731015,2759.78343764,2818.98804835,2995.50280499
72 150.589033476,231.226843886,419.244621585,467.939810544,583.746224506,679.645653836,723.073358266,813.828547287,1026.16097928,1081.9414563,1108.97840277,1163.08386565,1255.96235126,1348.36188278,1382.62067599,1582.60857346,1681.86417565,1761.12735529,1815.68520324,1830.00149526,1981.24607631,2108.8527374,2138.23623825,2221.13599746,2294.95500813,2322.11799034,2380.78142822,2507.59428012,2698.7493856,2778.76272962,2887.23815688,2964.19220978
73 132.687767077,229.243433531,477.503069654,553.419502789,713.505440399,904.3663675,1189.05557745,1189.22211636,1295.15802962,1463.76372263,1560.66814787,1656.41817153,1736.65025477,1782.59544844,1840.35541154,1900.80085504,2029.75293356,2062.06380207,2099.88839741,2198.76394861,2231.1548326,2285.74285892,2305.78978194,2414.19364555,2565.75027858,2627.83425813,2750.45215702,2804.26349345
74 239.693929214,348.549360138,423.779610146,516.275644431,656.412025477,661.658914552,700.69339324,829.1084499,874.136878206,998.773009669,1096.52331771,1239.01462596,1251.6523857,1378.52103808,1421.27588645,1484.84687264,1498.64197956,1610.87570776,1740.00996263,1902.17355457,2010.1621474,2048.76826269,2214.63970734,2304.46640124,2438.83195201,2516.20644094,2718.41732058,2836.47059751
75 102.47542772,327.781118593,395.562529608,576.712320034,649.719959019,776.786196023,916.866430555,1023.98422365,1087.36753683,1239.59647476,1442.46977777,1600.61964981,1673.89936739,1767.99538619,1809.62064681,2021.83426445,2163.07931774,2262.51399115,2272.3437547,2338.77650846,2375.01723588,2552.28138411,2701.68765657,2726.71066033,2751.36586621,2905.18793953,2914.00842757
76 90.6023444439,160.254112879,220.609849351,253.887469723,411.601496663,494.827863631,558.391259565,610.127200822,682.268710207,760.531842309,826.691010504,917.324512768,1129.28167638,1133.27846386,1224.47231256,1270.49030863,1328.15432833,1479.6910365,1636.87055375,1708.06337555,1896.41317016,1939.9874747,1963.24636213,2100.41038439,2288.11675583,2381.26393701,2397.42426359,2497.6970484,2675.96701422,2753.34248437,2956.44979126,2959.13254067
77 36.9545975716,71.6157579016,207.750990932,276.674830906,388.905545467,513.701763253,526.67109384,595.464700237,745.454741501,860.119783527,987.274104097,1035.96300283,1103.90441631,1215.2305009,1390.86420436,1592.63648016,1661.48752464,1918.68389058,1997.06107984,2100.49145885,2166.20526735,2324.68881169,2578.37621363,2720.75971138,2838.8183704
78 70.6099463122,128.495180538,175.819660286,278.1301795,440.193133381,604.543534354,727.599596259,866.941648921,903.129890272,1014.33460182,1202.92840243,1318.35476334,1405.66087605,1618.77087921,1676.87830608,1681.39656288,1735.08492973,1843.80421926,2021.74988664,2133.33857207,2356.91791051,2466.76781704,2541.42056479,2684.27847068,2727.12359894,2825.63968053
79 21.6700434902,88.4476178604,198.957133842,271.711411508,273.68951263,446.565149749,631.108866847,777.485781469,1028.93970395,1047.34580079,1200.68125369,1245.72585224,1337.49934438,1476.26957144,1511.40487808,1694.9845959,1791.22730524,1795.48219219,1882.18619962,2008.4395379,2150.2298954,2155.72027744,2296.76358725,2372.92213577,2602.95917227,2760.88958791,2848.24429558,2934.43167473
80 18.8871495506,32.7939123157,201.427973522,284.037864361,368.612644991,522.199679385,652.30280775,766.310180972,899.838950957,937.888689565,977.588155843,1060.49046459,1070.99043401,1181.8096073,1300.42850847,1417.62894719,1704.10990633,1762.24188484,1837.74710879,1895.21785926,2009.03573833,2090.94577067,2134.69833498,2239.73263474,2346.85144826,2378.62049951,2492.18430932,2599.00000644,2746.51192073,2768.97529856,2950.35363697,2958.55538785
81 3.93539857488,74.033195764,146.711585238,254.532794914,295.435067465,327.715397057,449.629508636,593.328928074,647.560001945,785.083865124,835.750365175,869.420774435,909.348715017,992.714366233,1054.26240774,1077.57701619,1134.44408159,1311.96053938,1409.80920153,1535.62313337,1607.12717576,1678.25554243,1780.49449669,1816.30997255,1852.98964638,2097.53862518,2282.79974949,2449.51601397,2636.58668371,2705.56402983,2856.33132219,2875.18960021
82 107.549344584,129.111769669,299.703949395,346.647996313,511.072647583,669.111435827,701.204994736,763.472450075,915.51456448,953.465438127,1097.77016397,1192.27801018,1309.99593592,1489.86691245,1592.07020205,1701.92176393,1754.92796225,1865.48513493,1978.50490926,2125.42614521,2226.90589129,2305.27044539,2336.01493431,2486.17965826,2640.50208919,2758.22730781,2970.90291194
83 69.3189267951,353.875997941,482.455410012,518.921674237,668.021124559,777.135824402,957.61202939,1120.97168977,1264.59628279,1363.06756097,1411.9643096,1522.16449471,1684.36694539,1787.0854296,1971.54008672,2130.22725094,2232.17932521,2384.80463005,2387.33987863,2495.86662754,2631.7195494,2761.96623162,2793.82089755,2918.46816037,2988.46213776
84 150.92730904,328.748256673,398.091318374,419.457628737,577.599924699,707.024306402,720.639270809,763.954913971,806.199281755,894.811923685,1007.53850241,1071.83495501,1160.54541825,1249.58830278,1278.21296509,1457.25092779,1524.66057706,1623.85962009,1653.91661313,1781.6832874,1788.97949531,1861.80124947,1972.57842752,2013.34225124,2122.15668648,2140.24217202,2281.99397987,2348.52432205,2401.3696935,2656.32705912,2856.73715131
85 21.9665506899,100.206614765,316.403771498,358.091531374,382.024387533,557.177891555,657.004989014,723.772129119,904.361600188,992.215589242,1073.36835624,1111.9617495,1299.12177811,1410.25131955,1501.05933357,1718.86810748,1894.60835078,2113.39088325,2288.80024308,2297.08643211,2325.54920447,2331.24167931,2382.01423779,2480.29133004,2497.20176666,2618.96387568,2685.98228393,2890.17597637
86 163.908573234,202.483089132,289.729241882,484.294953132,696.461939715,869.347989967,944.302160509,1060.73523466,1156.9422888,1305.11809193,1371.30568779,1526.25531213,1599.14167346,1693.90273631,1850.74593831,2044.08806494,2135.28415476,2247.12742214,2317.71251258,2455.45609389,2649.78103617,2797.87496618,2818.10780012,2905.7773635,2935.26973582
87 203.76894565,339.226829199,584.851399464,630.366458878,764.08474229,870.934141688,1051.83117763,1141.81909716,1162.51363726,1295.5377215,1302.60787358,1344.22259019,1418.62180529,1453.8813084,1509.45771667,1559.82374984,1701.89376465,1723.37002019,1849.82382483,2044.98762614,2093.56894389,2112.64965265,2198.03083663,2340.65902174,2509.71052459,2561.86432971,2591.62970972,2674.75583852,2779.77154062,2911.23709872
88 2.03767446618,39.4949158194,140.526033413,142.107326919,214.78873852,357.628333525,557.438829524,681.768824248,817.968292419,902.78541865,1086.43399915,1326.94698798,1374.194797,1468.3160924,1556.39070689,1735.00689885,1772.68361141,1847.40005087,1971.50071952,2120.18131268,2274.59426103,2296.73134948,2414.11589678,2551.49906211,2665.6685978,2856.8434342,2881.93393584
89 113.832799777,268.942030963,325.193287701,410.206348292,575.78250394,819.934336744,939.257069413,1105.01201078,1223.6879168,1239.03949025,1416.90413571,1562.62844652,1592.84484657,1660.511933,1861.61960261,1881.69287845,1910.71250602,1973.01859059,1973.96465668,2090.98069604,2185.58067063,2374.68337982,2505.39591006,2565.76072618,2747.51445491,2841.52093423,2897.58561575
90 176.035808693,177.742200731,187.024667881,354.613005192,542.538164183,545.703803247,654.712595454,712.535731774,906.645600876,960.661108127,1010.12190278,1113.38164485,1203.21800906,1221.36339609,1234.63827946,1323.85185465,1491.6672537,1498.44524989,1580.27771864,1757.85837642,1890.39123007,2077.96499402,2170.29591316,2372.75666741,2496.3898918,2554.40203176,2697.34633219,2866.45233006,2973.4710255
91 118.728326982,148.277980351,172.272510131,233.816464527,326.343612287,506.938978565,644.384594132,916.54321994,941.362062472,1002.37273285,1003.99462651,1057.03452734,1113.90894448,1124.56833741,1265.17847179,1532.24280138,1686.9779507,1765.41204606,1918.7903115,2041.26005975,2156.46080358,2235.57667064,2297.37477779,2433.7892526,2492.44474808,2527.69971933,2583.44977472,2651.53470887,2857.54944865,2870.96343813
92 36.783037748,166.14872437,275.726359561,513.98090579,642.082575383,707.291864092,785.302938735,923.200877426,1088.5352753,1299.41567501,1434.62637923,1533.86564509,1612.20056248,1651.3402012,1803.38680262,1821.11301729,1945.44424722,2008.64746713,2016.99100306,2099.63590678,2226.62385436,2343.57801247,2461.80005826,2575.24744245,2710.21453314,2831.18854378,2869.86006824,2986.52739021
93 126.898684486,222.772006465,358.286856283,459.660277173,602.797710882,754.561770174,875.547613914,1065.25853933,1207.78939939,1329.25147182,1437.65899809,1631.64215623,1824.23294174,1979.28325091,2087.46799271,2207.10328285,2251.91155495,2318.41266603,2429.548238,2557.78727812,2610.02765792,2770.02298662,2791.1432586,2811.66750839
94 154.953559681,356.117529845,361.206914528,459.749444997,526.404314346,749.675858933,873.818300879,1063.04526858,1167.78365921,1353.01680235,1447.94686741,1545.90065388,1696.08670572,1728.62329144,1734.60457146,1898.42430147,2006.24385902,2062.39043771,2240.15317945,2304.46939304,2332.17578061,2379.57882727,2536.95924201,2716.06583493,2868.10798291,2948.93843502
95 13.4212183206,91.3292777818,104.774673716,271.046500692,275.375964671,459.977151481,576.534873661,692.714841228,824.787861013,903.114807924,962.040250975,977.00187075,1036.16101461,1050.13023844,1101.38305008,1227.21212509,1267.12392197,1368.05874102,1449.67055637,1635.19383341,1786.38816741,1929.92550892,2071.97659253,2115.89126004,2235.40593304,2380.84956764,2462.20593733,2567.6242852,2685.59021269,2754.62976497,2778.2991728,2863.95968318,2995.70822373
96 116.93699603,253.672712175,423.51822628,432.895936089,546.612295259,614.330942596,817.233443316,1016.55729581,1127.33054304,1259.65045472,1333.21283681,1355.53662085,1481.58943155,1502.30912771,1710.80529676,1861.06153422,1945.03288186,2060.13564084,2113.04159094,2281.38378924,2393.33509108,2436.66243944,2531.07087976,2643.31997208,2770.11616323,2829.54929159,2952.50743017
97 218.625280321,281.112753065,307.994754301,436.627168165,565.010684552,693.347425212,746.062024919,828.092919264,936.939712181,1043.64981021,1202.86933355,1275.38849777,1322.1329902,1416.42090159,1484.75860853,1593.52333347,1735.21656925,1782.18210723,1973.63696586,2068.02938596,2153.46236875,2320.91255947,2418.67304155,2461.32975529,2574.2882677,2607.85127128,2810.93162822,2817.71675649
98 20.9823024317,177.539504719,245.024455831,320.568358447,418.062765489,471.31278567,494.50212707,511.59086574,627.073234852,774.784074039,841.379894765,953.399317371,1138.47141278,1221.07118881,1404.31773486,1464.09371109,1596.77701822,1700.10807635,1853.7399333,1922.30762351,2008.98122915,2128.5831686,2295.05166185,2461.30630566,2568.98954815,2696.64432685,2808.90032828,2920.90852503
99 129.581223915,140.983702446,317.557409975,337.630138803,361.337648529,504.948417433,552.607790016,636.015213358,720.585642134,936.269183017,1037.07885978,1061.56915511,1205.81763797,1268.11538692,1418.50448012,1451.29554935,1511.42980087,1633.5951949,1768.58020132,1907.73055948,2020.4720066,2150.85931084,2245.01323716,2351.16899105,2531.39863372,2640.49637462,2781.14472315,2932.58037837
